ID;SDN_P01_code;Aquo_Grootheid_code;Aquo_ChemischeStof_code;Aquo_biotaxon_code;Aquo_Compartiment_code;Aquo_Monstercriterium_code;Aquo_Hoedanigheid_code;D_BEGIN;D_EIND;D_STATUS
392;"ZBN00225";"AANTPOPVTE";;"Cerastoderma";"BS";;;11-12-2014;;"G"
393;"ZBN00226";"AANTPOPVTE";;"Cerastoderma edule";"BS";;;11-12-2014;;"G"
394;"ZBN00242";"AANTPOPVTE";;"Chaetognatha";"BS";;;11-12-2014;;"G"
395;"ZBN00323";"AANTPOPVTE";;"Corophium acherusicum";"BS";;;11-12-2014;;"G"
396;"ZBN00325";"AANTPOPVTE";;"Corophium arenarium";"BS";;;11-12-2014;;"G"
397;"ZBN00331";"AANTPOPVTE";;"Corophium sextonae";"BS";;;11-12-2014;;"G"
398;"ZBN00332";"AANTPOPVTE";;"Corophium volutator";"BS";;;11-12-2014;;"G"
399;"ZBN00339";"AANTPOPVTE";;"Crangon";"BS";;;11-12-2014;;"G"
400;"ZBN00340";"AANTPOPVTE";;"Crangon allmanni";"BS";;;11-12-2014;;"G"
401;"ZBN00342";"AANTPOPVTE";;"Crangonidae";"BS";;;11-12-2014;;"G"
402;"ZBN00344";"AANTPOPVTE";;"Crassostrea";"BS";;;11-12-2014;;"G"
403;"ZBN00347";"AANTPOPVTE";;"Crepidula fornicata";"BS";;;11-12-2014;;"G"
404;"ZBN00375";"AANTPOPVTE";;"Cumacea";"BS";;;11-12-2014;;"G"
405;"ZBN00376";"AANTPOPVTE";;"Cumopsis goodsir";"BS";;;11-12-2014;;"G"
406;"ZBN00389";"AANTPOPVTE";;"Decapoda";"BS";;;11-12-2014;;"G"
407;"ZBN00404";"AANTPOPVTE";;"Diastylis";"BS";;;11-12-2014;;"G"
408;"ZBN00405";"AANTPOPVTE";;"Diastylis bradyi";"BS";;;11-12-2014;;"G"
409;"ZBN00408";"AANTPOPVTE";;"Diastylis rathkei";"BS";;;11-12-2014;;"G"
410;"ZBN00417";"AANTPOPVTE";;"Diogenes pugilator";"BS";;;11-12-2014;;"G"
411;"ZBN00424";"AANTPOPVTE";;"Donax vittatus";"BS";;;11-12-2014;;"G"
412;"ZBN00444";"AANTPOPVTE";;"Echiichthys vipera";"BS";;;11-12-2014;;"G"
413;"ZBN00445";"AANTPOPVTE";;"Echinocardium";"BS";;;11-12-2014;;"G"
414;"ZBN00483";"AANTPOPVTE";;"Ensis";"BS";;;11-12-2014;;"G"
415;"ZBN00485";"AANTPOPVTE";;"Ensis directus";"BS";;;11-12-2014;;"G"
416;"ZBN00486";"AANTPOPVTE";;"Ensis ensis";"BS";;;11-12-2014;;"G"
417;"ZBN00489";"AANTPOPVTE";;"Enteropneusta";"BS";;;11-12-2014;;"G"
418;"ZBN00502";"AANTPOPVTE";;"Eriocheir sinensis";"BS";;;11-12-2014;;"G"
419;"ZBN00512";"AANTPOPVTE";;"Eteone";"BS";;;11-12-2014;;"G"
420;"ZBN00514";"AANTPOPVTE";;"Eteone foliosa";"BS";;;11-12-2014;;"G"
421;"ZBN00530";"AANTPOPVTE";;"Eumida";"BS";;;11-12-2014;;"G"
422;"ZBN00532";"AANTPOPVTE";;"Eumida sanguinea";"BS";;;11-12-2014;;"G"
423;"ZBN00536";"AANTPOPVTE";;"Eurydice pulchra";"BS";;;11-12-2014;;"G"
424;"ZBN00540";"AANTPOPVTE";;"Eutrigla gurnardus";"BS";;;11-12-2014;;"G"
425;"ZBN00561";"AANTPOPVTE";;"Gadus morhua";"BS";;;11-12-2014;;"G"
426;"ZBN00564";"AANTPOPVTE";;"Gammaridae";"BS";;;11-12-2014;;"G"
427;"ZBN00565";"AANTPOPVTE";;"Gammaridea";"BS";;;11-12-2014;;"G"
428;"ZBN00570";"AANTPOPVTE";;"Gammarus";"BS";;;11-12-2014;;"G"
429;"ZBN00574";"AANTPOPVTE";;"Gammarus locusta";"BS";;;11-12-2014;;"G"
430;"ZBN00583";"AANTPOPVTE";;"Gastrosaccus";"BS";;;11-12-2014;;"G"
431;"ZBN00597";"AANTPOPVTE";;"Glycera alba";"BS";;;11-12-2014;;"G"
432;"ZBN00598";"AANTPOPVTE";;"Glycera lapidum";"BS";;;11-12-2014;;"G"
433;"ZBN00600";"AANTPOPVTE";;"Glycera tridactyla";"BS";;;11-12-2014;;"G"
434;"ZBN00649";"AANTPOPVTE";;"Harmothoe imbricata";"BS";;;11-12-2014;;"G"
435;"ZBN00650";"AANTPOPVTE";;"Harmothoe impar";"BS";;;11-12-2014;;"G"
436;"ZBN00664";"AANTPOPVTE";;"Haustorius arenarius";"BS";;;11-12-2014;;"G"
437;"ZBN00692";"AANTPOPVTE";;"Hippolyte varians";"BS";;;11-12-2014;;"G"
438;"ZBN00712";"AANTPOPVTE";;"Hydrobia ulvae";"BS";;;11-12-2014;;"G"
439;"ZBN00713";"AANTPOPVTE";;"Hydrobiidae";"BS";;;11-12-2014;;"G"
440;"ZBN00734";"AANTPOPVTE";;"Hydrozoa";"BS";;;11-12-2014;;"G"
441;"ZBN00746";"AANTPOPVTE";;"Hyperoplus lanceolatus";"BS";;;11-12-2014;;"G"
442;"ZBN00749";"AANTPOPVTE";;"Idotea";"BS";;;11-12-2014;;"G"
443;"ZBN00758";"AANTPOPVTE";;"Insecta";"BS";;;11-12-2014;;"G"
444;"ZBN00759";"AANTPOPVTE";;"Ione thoracica";"BS";;;11-12-2014;;"G"
445;"ZBN00760";"AANTPOPVTE";;"Iphinoe trispinosa";"BS";;;11-12-2014;;"G"
446;"ZBN00785";"AANTPOPVTE";;"Lampetra fluviatilis";"BS";;;11-12-2014;;"G"
447;"ZBN00800";"AANTPOPVTE";;"Lepidonotus squamatus";"BS";;;11-12-2014;;"G"
448;"ZBN00814";"AANTPOPVTE";;"Leucothoe incisa";"BS";;;11-12-2014;;"G"
449;"ZBN00815";"AANTPOPVTE";;"Leucothoe lilljeborgi";"BS";;;11-12-2014;;"G"
450;"ZBN00819";"AANTPOPVTE";;"Limanda limanda";"BS";;;11-12-2014;;"G"
451;"ZBN00848";"AANTPOPVTE";;"Liocarcinus depurator";"BS";;;11-12-2014;;"G"
452;"ZBN00849";"AANTPOPVTE";;"Liocarcinus holsatus";"BS";;;11-12-2014;;"G"
453;"ZBN00851";"AANTPOPVTE";;"Liparis liparis";"BS";;;11-12-2014;;"G"
454;"ZBN00874";"AANTPOPVTE";;"Macoma balthica";"BS";;;11-12-2014;;"G"
455;"ZBN00877";"AANTPOPVTE";;"Macropodia";"BS";;;11-12-2014;;"G"
456;"ZBN00881";"AANTPOPVTE";;"Magelona";"BS";;;11-12-2014;;"G"
457;"ZBN00883";"AANTPOPVTE";;"Magelona filiformis";"BS";;;11-12-2014;;"G"
458;"ZBN00886";"AANTPOPVTE";;"Magelona mirabilis";"BS";;;11-12-2014;;"G"
459;"ZBN00887";"AANTPOPVTE";;"Magelona papillicornis";"BS";;;11-12-2014;;"G"
460;"ZBN00888";"AANTPOPVTE";;"Malacoceros";"BS";;;11-12-2014;;"G"
461;"ZBN00889";"AANTPOPVTE";;"Malacoceros fuliginosus";"BS";;;11-12-2014;;"G"
462;"ZBN00893";"AANTPOPVTE";;"Marenzelleria viridis";"BS";;;11-12-2014;;"G"
463;"ZBN00894";"AANTPOPVTE";;"Marenzelleria wireni";"BS";;;11-12-2014;;"G"
464;"ZBN00898";"AANTPOPVTE";;"Megaluropus agilis";"BS";;;11-12-2014;;"G"
465;"ZBN00901";"AANTPOPVTE";;"Melita";"BS";;;11-12-2014;;"G"
466;"ZBN00903";"AANTPOPVTE";;"Melita palmata";"BS";;;11-12-2014;;"G"
467;"ZBN00907";"AANTPOPVTE";;"Merlangius merlangus";"BS";;;11-12-2014;;"G"
468;"ZBN00908";"AANTPOPVTE";;"Mesopodopsis slabberi";"BS";;;11-12-2014;;"G"
469;"ZBN00926";"AANTPOPVTE";;"Microphthalmus";"BS";;;11-12-2014;;"G"
470;"ZBN00927";"AANTPOPVTE";;"Microphthalmus aberrans";"BS";;;11-12-2014;;"G"
471;"ZBN00929";"AANTPOPVTE";;"Microphthalmus listensis";"BS";;;11-12-2014;;"G"
472;"ZBN00930";"AANTPOPVTE";;"Microphthalmus sczelkowii";"BS";;;11-12-2014;;"G"
473;"ZBN00932";"AANTPOPVTE";;"Microphthalmus similis";"BS";;;11-12-2014;;"G"
474;"ZBN00933";"AANTPOPVTE";;"Microprotopus";"BS";;;11-12-2014;;"G"
475;"ZBN00934";"AANTPOPVTE";;"Microprotopus maculatus";"BS";;;11-12-2014;;"G"
476;"ZBN00958";"AANTPOPVTE";;"Mollusca";"BS";;;11-12-2014;;"G"
477;"ZBN00962";"AANTPOPVTE";;"Montacuta ferruginosa";"BS";;;11-12-2014;;"G"
478;"ZBN00969";"AANTPOPVTE";;"Myoxocephalus scorpius";"BS";;;11-12-2014;;"G"
479;"ZBN00975";"AANTPOPVTE";;"Mysidacea";"BS";;;11-12-2014;;"G"
480;"ZBN00976";"AANTPOPVTE";;"Mysidae";"BS";;;11-12-2014;;"G"
481;"ZBN00977";"AANTPOPVTE";;"Mysta picta";"BS";;;11-12-2014;;"G"
482;"ZBN00985";"AANTPOPVTE";;"Mytilus edulis";"BS";;;11-12-2014;;"G"
483;"ZBN01023";"AANTPOPVTE";;"Nephtys hombergii";"BS";;;11-12-2014;;"G"
484;"ZBN01027";"AANTPOPVTE";;"Nereis";"BS";;;11-12-2014;;"G"
485;"ZBN01051";"AANTPOPVTE";;"Nudibranchia";"BS";;;11-12-2014;;"G"
486;"ZBN01052";"AANTPOPVTE";;"Nymphon";"BS";;;11-12-2014;;"G"
487;"ZBN01067";"AANTPOPVTE";;"Oligochaeta";"BS";;;11-12-2014;;"G"
488;"ZBN01069";"AANTPOPVTE";;"Ophelia";"BS";;;11-12-2014;;"G"
489;"ZBN01071";"AANTPOPVTE";;"Ophelia limacina";"BS";;;11-12-2014;;"G"
490;"ZBN01073";"AANTPOPVTE";;"Opheliidae";"BS";;;11-12-2014;;"G"
491;"ZBN01077";"AANTPOPVTE";;"Ophiodromus flexuosus";"BS";;;11-12-2014;;"G"
492;"ZBN01078";"AANTPOPVTE";;"Ophiothrix fragilis";"BS";;;11-12-2014;;"G"
493;"ZBN01079";"AANTPOPVTE";;"Ophiura";"BS";;;11-12-2014;;"G"
494;"ZBN01102";"AANTPOPVTE";;"Ostrea edulis";"BS";;;11-12-2014;;"G"
495;"ZBN01111";"AANTPOPVTE";;"Paguridae";"BS";;;11-12-2014;;"G"
496;"ZBN01112";"AANTPOPVTE";;"Pagurus bernhardus";"BS";;;11-12-2014;;"G"
497;"ZBN01113";"AANTPOPVTE";;"Palaemon";"BS";;;11-12-2014;;"G"
498;"ZBN01117";"AANTPOPVTE";;"Palaemonetes varians";"BS";;;11-12-2014;;"G"
499;"ZBN01133";"AANTPOPVTE";;"Parajassa pelagica";"BS";;;11-12-2014;;"G"
500;"ZBN01141";"AANTPOPVTE";;"Paraonidae";"BS";;;11-12-2014;;"G"
501;"ZBN01142";"AANTPOPVTE";;"Paraonis fulgens";"BS";;;11-12-2014;;"G"
502;"ZBN01162";"AANTPOPVTE";;"Pectinariidae";"BS";;;11-12-2014;;"G"
503;"ZBN01168";"AANTPOPVTE";;"Perioculodes longimanus";"BS";;;11-12-2014;;"G"
504;"ZBN01170";"AANTPOPVTE";;"Petricola";"BS";;;11-12-2014;;"G"
505;"ZBN01171";"AANTPOPVTE";;"Petricola pholadiformis";"BS";;;11-12-2014;;"G"
506;"ZBN01177";"AANTPOPVTE";;"Philocheras trispinosus";"BS";;;11-12-2014;;"G"
507;"ZBN01188";"AANTPOPVTE";;"Phyllodoce groenlandica";"BS";;;11-12-2014;;"G"
508;"ZBN01193";"AANTPOPVTE";;"Phyllodocidae";"BS";;;11-12-2014;;"G"
509;"ZBN01194";"AANTPOPVTE";;"Phyllodocinae";"BS";;;11-12-2014;;"G"
510;"ZBN01200";"AANTPOPVTE";;"Pinnotheres pisum";"BS";;;11-12-2014;;"G"
511;"ZBN01248";"AANTPOPVTE";;"Platichthys flesus";"BS";;;11-12-2014;;"G"
512;"ZBN01250";"AANTPOPVTE";;"Platynereis dumerilii";"BS";;;11-12-2014;;"G"
513;"ZBN01253";"AANTPOPVTE";;"Pleuronectes platessa";"BS";;;11-12-2014;;"G"
514;"ZBN01257";"AANTPOPVTE";;"Podarkeopsis helgolandica";"BS";;;11-12-2014;;"G"
515;"ZBN01274";"AANTPOPVTE";;"Polydora ciliata";"BS";;;11-12-2014;;"G"
516;"ZBN01275";"AANTPOPVTE";;"Polydora cornuta";"BS";;;11-12-2014;;"G"
517;"ZBN01279";"AANTPOPVTE";;"Polynoidae";"BS";;;11-12-2014;;"G"
518;"ZBN01296";"AANTPOPVTE";;"Pomatoschistus";"BS";;;11-12-2014;;"G"
519;"ZBN01298";"AANTPOPVTE";;"Pontocrates";"BS";;;11-12-2014;;"G"
520;"ZBN01301";"AANTPOPVTE";;"Pontocrates arenarius";"BS";;;11-12-2014;;"G"
521;"ZBN01304";"AANTPOPVTE";;"Pontophilus";"BS";;;11-12-2014;;"G"
522;"ZBN01307";"AANTPOPVTE";;"Portumnus latipes";"BS";;;11-12-2014;;"G"
523;"ZBN01318";"AANTPOPVTE";;"Praunus flexuosus";"BS";;;11-12-2014;;"G"
524;"ZBN01328";"AANTPOPVTE";;"Proceraea cornuta";"BS";;;11-12-2014;;"G"
525;"ZBN01332";"AANTPOPVTE";;"Processa parva";"BS";;;11-12-2014;;"G"
526;"ZBN01340";"AANTPOPVTE";;"Protodorvillea kefersteini";"BS";;;11-12-2014;;"G"
527;"ZBN01361";"AANTPOPVTE";;"Pseudopolydora pulchra";"BS";;;11-12-2014;;"G"
528;"ZBN01370";"AANTPOPVTE";;"Pycnogonida";"BS";;;11-12-2014;;"G"
529;"ZBN01373";"AANTPOPVTE";;"Pygospio elegans";"BS";;;11-12-2014;;"G"
530;"ZBN01413";"AANTPOPVTE";;"Schistomysis kervillei";"BS";;;11-12-2014;;"G"
531;"ZBN01414";"AANTPOPVTE";;"Schistomysis spiritus";"BS";;;11-12-2014;;"G"
532;"ZBN01419";"AANTPOPVTE";;"Scolelepis foliosa";"BS";;;11-12-2014;;"G"
533;"ZBN01420";"AANTPOPVTE";;"Scolelepis squamata";"BS";;;11-12-2014;;"G"
534;"ZBN01425";"AANTPOPVTE";;"Scophthalmus maximus";"BS";;;11-12-2014;;"G"
535;"ZBN01426";"AANTPOPVTE";;"Scrobicularia plana";"BS";;;11-12-2014;;"G"
536;"ZBN01432";"AANTPOPVTE";;"Sigalion";"BS";;;11-12-2014;;"G"
537;"ZBN01433";"AANTPOPVTE";;"Sigalion mathildae";"BS";;;11-12-2014;;"G"
538;"ZBN01452";"AANTPOPVTE";;"Sipuncula";"BS";;;11-12-2014;;"G"
539;"ZBN01459";"AANTPOPVTE";;"Solea solea";"BS";;;11-12-2014;;"G"
540;"ZBN01480";"AANTPOPVTE";;"Spio";"BS";;;11-12-2014;;"G"
541;"ZBN01483";"AANTPOPVTE";;"Spio filicornis";"BS";;;11-12-2014;;"G"
542;"ZBN01485";"AANTPOPVTE";;"Spionidae";"BS";;;11-12-2014;;"G"
543;"ZBN01488";"AANTPOPVTE";;"Spisula";"BS";;;11-12-2014;;"G"
544;"ZBN01489";"AANTPOPVTE";;"Spisula elliptica";"BS";;;11-12-2014;;"G"
545;"ZBN01490";"AANTPOPVTE";;"Spisula solida";"BS";;;11-12-2014;;"G"
546;"ZBN01491";"AANTPOPVTE";;"Spisula subtruncata";"BS";;;11-12-2014;;"G"
547;"ZBN01505";"AANTPOPVTE";;"Stenothoe marina";"BS";;;11-12-2014;;"G"
548;"ZBN01509";"AANTPOPVTE";;"Sthenelais boa";"BS";;;11-12-2014;;"G"
549;"ZBN01513";"AANTPOPVTE";;"Streblospio benedicti";"BS";;;11-12-2014;;"G"
550;"ZBN01515";"AANTPOPVTE";;"Streblospio shrubsolii";"BS";;;11-12-2014;;"G"
551;"ZBN01516";"AANTPOPVTE";;"Streptosyllis";"BS";;;11-12-2014;;"G"
552;"ZBN01522";"AANTPOPVTE";;"Syllidae";"BS";;;11-12-2014;;"G"
553;"ZBN01523";"AANTPOPVTE";;"Syllidia armata";"BS";;;11-12-2014;;"G"
554;"ZBN01525";"AANTPOPVTE";;"Syllis gracilis";"BS";;;11-12-2014;;"G"
555;"ZBN01529";"AANTPOPVTE";;"Synchelidium haplocheles";"BS";;;11-12-2014;;"G"
556;"ZBN01532";"AANTPOPVTE";;"Syngnathus rostellatus";"BS";;;11-12-2014;;"G"
557;"ZBN01537";"AANTPOPVTE";;"Tanaidacea";"BS";;;11-12-2014;;"G"
558;"ZBN01548";"AANTPOPVTE";;"Tellina";"BS";;;11-12-2014;;"G"
559;"ZBN01549";"AANTPOPVTE";;"Tellina fabula";"BS";;;11-12-2014;;"G"
560;"ZBN01551";"AANTPOPVTE";;"Tellina tenuis";"BS";;;11-12-2014;;"G"
561;"ZBN01564";"AANTPOPVTE";;"Thia scutellata";"BS";;;11-12-2014;;"G"
562;"ZBN01579";"AANTPOPVTE";;"Tornus subcarinatus";"BS";;;11-12-2014;;"G"
563;"ZBN01580";"AANTPOPVTE";;"Trachurus trachurus";"BS";;;11-12-2014;;"G"
564;"ZBN01588";"AANTPOPVTE";;"Trisopterus luscus";"BS";;;11-12-2014;;"G"
565;"ZBN01589";"AANTPOPVTE";;"Tryphosella sarsi";"BS";;;11-12-2014;;"G"
566;"ZBN01601";"AANTPOPVTE";;"Tubularia indivisa";"BS";;;11-12-2014;;"G"
567;"ZBN01605";"AANTPOPVTE";;"Turritella communis";"BS";;;11-12-2014;;"G"
568;"ZBN01630";"AANTPOPVTE";;"Urothoe brevicornis";"BS";;;11-12-2014;;"G"
569;"ZBN01642";"AANTPOPVTE";;"Venerupis";"BS";;;11-12-2014;;"G"
570;"ZBN01643";"AANTPOPVTE";;"Venerupis senegalensis";"BS";;;11-12-2014;;"G"
