WaardeBepalingsmethode.Code;WaardeBepalingsmethode.Omschrijving
other:W4301;Bepaling van het gehalte Fe, Zn, Mn mbv ICP-AES in water
other:W4330;Bepaling van metalen mbv ICP-MS
other:A418;Bepaling polaire bestrijdingsmiddelen met LC/MS
other:X054;LC/MS analyse afgeleid van I11369 (Omegam)
other:X066;Bepalen van Captan mbv LCMS (Omegam).
other:W5316;Bep van polaire bestrijdingsmiddelen stoffen met LC/MS/MS
other:W5429;An. PFOS en PFOA mbv solid phase extractie en LC-MS/MS detec
other:I9308-1;Membraam filtratie methode volgens ISO 9308-1
other:N6274;Kwant faecale streptococcen mbv membraanfiltratie (water)
other:N6570;Kwant. thermo.tol.bact. coligroep mbv membraanfiltratie
other:N6571;Kwant. totaal bact. coligroep mbv membraanfiltratie
D38412-16.85;DIN 38412-16:1985-12
I9698.89;ISO 9698:1989 en
N12260.03;NEN-EN 12260:2003 en
other:A081;Berekening totaal organisch koolstof (TOC)
other:A082;Berekening totaal stikstof
other:A083;Berekening totaal fosfor
other:A089;Totaal opgelost stikstof mbv UV-destructie
other:A1043;Analyse van specifieke polaire verbindingen met IC-MS
other:A3051;Bepaling van Ra-226 m.b.v. extractiedisks.
other:A4404;Bepaling van biogeen silicium mbv ICP-OES
other:A4411;Bepaling van organotin mbv GC-ICP-MS
other:A5320;Bep van polaire bestrijdingsmiddelen met LCMSMS in water
other:A601;Bepaling van Arseen
other:A602;Bepaling van Chroom
other:A603;Bepaling van kwik
other:B001;Bepaling volgens Mac Conkey MPN
other:B003;Bepaling volgens Eykmanlactose 44,5o MPN
other:B005;Bepaling volgens WAKWA 031621
other:B008;Bepaling van reciprose waarde titer
other:FW015;913.00.W015, Bepaling fysisch-chemische veldparameters
other:I10304-1;Bep F,Cl,NO2,oPO4,Br,NO3,SO4 mbv LC NEN-EN-ISO
other:I11369;Bep. diverse bestrijdingsmiddelen mbv LC-MS met UV-detectie
other:I11905_2;Bepaling van N mbv chemoluminiscentie
other:I13395;Bep. van NO2, NO3, s_NO3NO2 als N mbv spectro.det
other:I15680;GC bep MAK Naf en cl verb mvb purge/trap termal desorption
other:I15681_2;Bep. van het gehalte van o-PO4 en tP mbv CFA
other:I15923_1;Bep NH4,Cl,NO3,NO2,oPO4,SiO4,SO4 mbv discrete analyse
other:I16588;Gaschromatische meth voor bep 6 complexvormende verbindingen
other:I21458;Bepaling van glyfosaat en aminomethylfosfonzuur (AMPA)
other:I6340;Water - Bepaling van Salmonelle mbv MWA-methode (ISO-norm)
other:I6468;Gaschr. bep. OCBs, PCBs, CBs na vloeistof/vloeistof extract.
other:I7888;Geleidendheid bepaling (NEN - ISO 7888)
other:I9562;Coulometrische bepaling (ISO 9562)
other:I9963;Bepaling van alkaliniteit (HCO3) volgens NEN en ISO 9963
other:LC01GW;Bep. van 16 EPA PAK in water en zs mbv HPLC-UV/Fluorescentie
other:N1483;Bepaling vh gehalte aan kwik mbv koude damp AAS in water
other:N1484;Leidraad voor bep. gehalt TOC en DOC in water
other:N15204;Waterkwaliteit - tellen van fytoplankton Utermohl-techniek
other:N26340;Salmonella mbv MWA methode
other:N3235;Fotometrische bepaling (8.3)
other:N6261;Escherichia coli mbv DP methode
other:N6265;Bepaling Salmonella, red. indicatief
other:N6401;Coulometrische bepaling
other:N6402;Coulometrische bepaling van organisch gebonden halogeen
other:N6412;Bepaling van de soortelijke geleiding
other:N6420;Bepaling dmv vloeistof scintillatie telling
other:N6421;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen
other:N6432;Bep van As mbv AAS hydridegeneratie techniek in water
other:N6434;Bep van Se mbv AAS hydridegeneratie techniek in water
other:N6443;Bepaling van zink mbv AAS vlamtechniek in water
other:N6445;Fluorescentiespectrometrische bepaling mbv koudedamp
other:N6451;Bepaling van koper mbv AAS vlamtechniek in water
other:N6452;Bepaling van cadmium mbv AAS vlamtechniek in water
other:N6453;Bepaling van lood mbv AAS vlamtechniek in water
other:N6456;Bepaling van nikkel mbv AAS vlamtechniek in water
other:N6468;Bep v Co mbv AAS grafietoventechniek in (slibhoudend) water
other:N6471;Fotometrische bepaling van het gehalte aan kiezelzuur
other:N6476;Bepaling chloride door potentiometrische titratie
other:N6483;Fluoride bepaling dmv ion-selectieve electrode
other:N6531;Titrimetrische bep HCO3 in water met pH kleiner/gelijk 8.35
other:N6562;Kwant faecale streptococcen mbv membraanfiltr (opp.water)
other:N6563;Kwant. faecale streptococcen mbv gistingsproeven
other:N6589;Bepaling van tot. anorg. fluoride met doorstr.injectiesyst.
other:N6646;Fotometr bep som NH4 en organisch-N vlgs Kjeldahl mbv CFA
other:N6652;Fotometrische bep opgelost s_NO3NO2 mbv doorstroomanalyse
other:N6653;Fotometrische bep opgelost nitriet mbv doorstroomanalyse
other:N6654;Fotometrische bep opgelost sulfaat mbv doorstroomanalyse
other:N6655;Fotometrische bep tot. en vrij cyanide mbv doorstroomanalyse
other:N6663;Fotometrische bepaling opgelost o_PO4 en totaal P mbv CFA
other:N6670;Fotometrische bep v/h gehalte waterdamp vluchtige fenolen
other:N6674;Fotometrisch bep. van het gehalte anionactieve detergentia
other:N6966;analyse van metalen in opl.  atomaire emissiespectrometrie
other:PEN26340;Bepaling van salmonella vlgs Pro Europese Norm mbv MWA metho
other:RN87022;Fysische bepaling volgens RIZA nota 87-022
other:R6522;Bepaling van organisch- en anorganisch koolstof (NPR 6522)
other:V5622;Radioactiviteitsbepaling mbv de dikkelaagmethode
other:V5637;Radioactiviteitsbepaling mbv proportionele teller
other:V8511;HPLC bepaling mbv UV/fluorescentie detectie (VPR 8511)
other:V8516;GC bepaling mbv ECD detectie (VPR 8516)
other:W003;Bepaling van fluoride - ionselectieve neting
other:W1001;Fotometr bep NO3,NO2,NH4,o-PO4,SiO2,Cl mbv CFA in water
other:W1002;Fotometr bep KjN en totaal fosfaat mbv CFA in water
other:W1024;Fotometrische bepaling van DOC mbv CFA in water
other:W1052;Bep anionactieve detergentia (s_MBAS) mbv CFA in water
other:W1086;Fotometrische bepaling van nutrienten mbv discrete analyse
other:W1104;Coulometrische bepaling
other:W1111;Bep v Br mbv ionselectieve electrode en gran-plot in water
other:W1182;Spectrofotometrische bepaling
other:W2103;Bepaling van salmonella mbv de MWA methode
other:W3001;Bep totaal alfa activiteit mbv proportionele teller in water
other:W3003;Bepaling totaal en rest beta activiteit in water
other:W3040;Bepaling dmv radiochemische scheiding
other:W3041;Bep. van Sr89 en Sr90 activiteitsconc. in water
other:W3050;Bepaling volgens Ba3SO4 neerslag mbv proportionele teller
other:W4116;Bepaling van Zn mbv AAS vlam in oppervlakte water
other:W4124;Bep v Ca en Mg mbv AAS vlamtechniek in oppervlaktewater
other:W4202;Bep v Cd,Cr,Cu,Ni,Pb mbv AAS grafietoven in zout water
other:W4205;Bepaling van Pb mbv AAS grafietoven in zout opp water
other:W4208;Bepaling van Cu mbv AAS grafietoven in zout opp water
other:W4211;Bepaling van Ni mbv AAS grafietoven in zout opp water
other:W4217;Bepaling van Fe mbv AAS grafietoventechniek in opp water
other:W4313;Bep van Al,B,Ba,Be mbv ICP-AES in oppervlaktewater
other:W4499;Totaal gehalte aan Cd Cr Cu Ni Pb en Zn in zoutwatermonsters
other:W5302;HPLC bepaling mbv DAD, C-18 kolom, CH3CN/H20
other:W5311;Bep. van fenyllureumherbiceden mbv vloeist.chrom en MS/MS
other:W5330;Bepaling van OPB/PCB in water mbv GC-ECD
other:W5411;Bep. van chelaten mbv HPLC en diode array detectie in water
other:W5418;Bepaling van C10-C13 chlooralkanen mbv GC/MS na SPE
other:W6011;Bep en bevestigen vluchtige org stoffen mbv ION TRAP MS
other:W6013;Bep CFCZ, nitrofenolen+enige andere verb. in water mbv LC-MS
other:X019;Bep. van vluchtige org. halogenen - microcoulometrie
other:X020;Multicomponentiele test mbv massaspectrometrie
other:X062;Bep. van EOX afgeleid van N6402 (Omegam).
other:X081;Bep bicarbonaat mbv potentiometrische titr obv N6532 (HWL)
other:X082;Bep van totaal fosfor mbv CFA obv I15681_2 (HWL)
other:X083;Bep van anion actieve detergentiea (MBAS) obv N903 (HWL)
other:X084;Bepalen van de complexvormers NTA, EDTA, DTPA mbv HPLCUV
other:X095;Bepaling van AOX mbv microcoulometrie (HWL)
other:X097;Bep van opgeloste anionen mbv LC gelijkw. I10304-1 (HWL)
other:X099;Bepaling van nutri���nten mbv discrete analyse (HWL)
other:X116;Bep v metalen mbv ICP/MS gelijkwaardig aan I17294-1/2 (HWL)
other:X142;Bep. van perfluor comp.mbv SPE en LS-MS/MS(UvA-PFAA_SPE)
other:X146;Bepaling van chloorfenolen in water glw NEN-EN 12673
other:X147;Bepaling van PBDE's in water (Al-West, QMP_BR_C_187)
other:X170;Bepaling van broomhoudende brandvertragers m.b.v. GC-MS
other:X171;Bepaling van chloorfenoxyalkaanzuren m.b.v. GC-MS
other:X096;Bep van CHLFa mbv spectrofotometerie gelijkw. N6520 (HWL)
other:N5761;AAS bepaling mbv vlamtechniek na ontsl. met HNO3 en HCL (Pb)
other:N5762;AAS bepaling mbv vlamtechniek na ontsl. met HNO3 en HCL (Cd)
other:W5414;analyse van (Nitro)Chloorbenzeen in sed. en zw.st.  GC-MS/MS
other:W4311;Bep van Cd,Cr,Cu,Mn,Ni,Pb,Sc,Zn mbv ICP-AES in sediment
other:N5756;Bep v organ+totaal koolst gehalte in grond na drogeverassing
other:N5758;AAS bepaling mbv vlamtechniek na ontsl. met HNO3 en HCL (Cu)
other:N5759;AAS bepaling mbv vlamtechniek na ontsl. met HNO3 en HCL (Zn)
other:N5764;AAS bepaling na ontsl. met HNO3 in destructievat bij 140 oC
other:N5765;AAS bepaling mbv vlamtechniek na ontsl. met HNO3 en HCL (Ni)
other:N5767;AAS bepaling mbv vlamtechniek na ontsl. met HNO3 en HCL (Cr)
other:N5779;Bepaling van kwik mbv koude damp techniek in zwevende stof
other:W1423;Gravimetrische bepaling
other:W1468;IR bepaling met freon extractie
other:W4310;Bepaling van het gehalte Ca en Fe mbv ICP-AES in sediment
other:W4404;Bep v Hg mbv fluoriscentiespectro in sediment/zwevende stof
other:W4407;AAS bepaling hydride techniek
other:W5328;Bep. CB(chloorbenzenen),NCB(nitroCB),HCE,HCBd,QCB mbv GC-ECD
other:W5409;Bep (Nitro)chloorbenzenen in sediment/zw.stof mbv. LC/GC/MS
other:X012;Bepaling gehalte olieproducten mbv GC-FID methode Tauw WV350
other:X026;Kj N en P volgens werkvoorschrift WV2.3.2-073 AL-West
other:X037;Bep. van de korrelgrootte mbv de sedigraaf (Al-West)
other:A651;Organo-tinverbindingen in sediment en ZS mbv GC-MSD
other:A074;Deeltjesgrootteverdeling fractie 0-63 um m.b.v. sedigraaf
other:A075;Bepaling sedimentsamenstelling
other:A641;Arseen mbv hybride generatie ICP-AES
other:A643;Bepaling Hg in sediment/zwevende stof met CVAFS
other:A645;Organo-tinverbindingen in sediment mbv GC-AED
other:A647;Bepaling metalen in zs m.b.v. ICP/MS
other:B079;Destructie mbv Kaliumbichromaat (IB 1979)
other:N6950;Bep geselecteerde elementen in bodem, waterbodem en slib
other:N6970;Koepelnrm v bep organ compon. in grond, waterbdm en bouwstof
other:X103;Bep van PAKs met GCMS gedeeltelijk afgeleid N6977 (Omegam)
other:X148;Bepaling van PAKs in WB en ZS (Al-West, SOP_AL_C_15208_01)
other:X149;Bepaling van PCBs in WB en ZS (Al-West, SOP_AL_C_15224_01)
other:X150;Bepaling van OCBs in WB en ZS (Al-West, SOP_AL_C_15210_01)
other:N6649;AAS bepaling na onsl. met permanganaat en persulfaat
other:ISW_A034;Bepaling van het gehalte aan vocht (droogstoofmethode)
other:RIVO9008;As bepaling in biota
other:A307;Bepaling algemene gegevens schelpdieren
other:X088;Bep. van non-ortho PCB's met GC/MS-NCI(Imares,ISW2.10.3.004)
other:A079;Bepaling van opgelost fosfaat mbv autoanalyser (Technicon)
other:A094;Opgelost stikstof mbv autoanalyser
other:A095;Opgelost fosfor mbv autoanalyser
other:A096;Totaal stikstof mbv autoanalyser
other:A100;Bepaling opgelost fosfor mbv autoanalyser na UV-destructie
other:A605;Zink mbv vlam AAS
other:A607;Zwaar metaal mbv oven/vlam AAS
other:A608;Nikkel mbv vlam AAS
other:A609;Lood mbv vlam AAS
other:A610;Zink mbv vlam AAS
other:N6455;Bepaling van magnesium mbv AAS vlamtechniek in water
other:A423;Bepaling Organochloorverb in water met GC/MS
other:X053;Bepaling van chlooranilines in water mbv GC/ MS (omegam)
other:X013;Bepaling van PAK's mbv hoge druk vloeistofchromatografie
other:A649;bepaling metalen in zout water mbv ICPMS (opvolger A604)
other:A040;Bepaling particulair stikstof mbv autoanalyser (Technicon)
other:A043;Bepaling particulair fosfaat mbv autoanalyser (Technicon)
other:A046;Totaal ijzer mbv autoanalyser
other:A091;Bepaling particulair stikstof mbv autoanalyser
other:A3060;Bep Tc99 met behulp van vloeistofscintillatie teltecniek
other:A414;Bepaling polaire pesticiden m.b.v. GC/MS
other:A419;Bepaling van Chloorfenoxycarbonzuren met LC-MS
other:A5313;Bepaling van geneesmiddelen mbv LCMSMS
other:B004;Bepaling mbv MFC medium 44,5o
other:I107051;Bepaling F specifieke RNA-fagen (ISO 107051)
other:LOA505;HPLC bepaling mbv UV detectie
other:LOA524;Derivatisering HPLC-fluorescentie
other:N6407;Gaschromat. bepaling van div. aromaten en alifatische koolw.
other:N6433;Bep van Sb mbv AAS hydridegeneratie techniek in water
other:N6446;Bepaling van calcium mbv AAS vlamtechniek in water
other:N6460;Bepaling van ijzer mbv AAS vlamtechniek in water
other:OM_LC25W;Bepaling van glyfocaat en aminomethylfosfonzuur
other:OM_N1056;Bepaling HCO3 in water vlgs Omegam voorschrift N1056.IV.6
other:V5623;Radioactiviteitsbepaling mbv halfgeleidergammaspectrometrie
other:V6432;AAS bepaling mbv hydride generatie techniek
other:W3005;Bepaling (rest)BETA act. conc. dmv NORIT methode
other:W3030;Bepaling mbv alfaspectrometrie
other:W4401;Bepaling mbv AES vlamtechniek
other:W4412;AAS bepaling mbv hydride generatie techniek
other:W5301;GC bepaling mbv N-P detectie
other:W5303;HPLC bepaling mbv diode-array detectie
other:W5304;Bepaling van N-methylcarbamaten
other:W5305;Bepaling van fenolherbiciden mbv HPLC
other:W6001;GC-MS bepaling na XAD-4 isolatie
other:W6002;GC-MS bepaling na purge and trap injectie
other:W6010;Bepaling van organische stoffen mbv GC-MS en DCM extractie
other:X021;bepaling ftalen met behulp van GCMS
other:X027;Bepaling van Glyfosaat en AMPA mbv HPLC-FLD (Aqualab)
other:W002;Bepaling van chloride - ionselectieve meting
other:X107;Bepaling van minerale olie mbv GC (Omegam)
other:W5413;Bep. van broomhoudendebrandvertragers in sed.zwst. mbv GC-MS
other:X166;Bepaling van PAKs door middel van GC-MSMS (BMM SV067)
other:X173;Bepaling van dibenzodioxines en dibenzofuranen mbv GC-MS/MS
other:X176;bep van perfluorverbindingen in ZS mbv LC-MS/MS in MRM mode
other:FW005;Zwevende stof monstername mbv een doorstroomcentrifuge
other:MTC3S005;Bepaling dioxine mbv hoge resolutie massa spectometric
other:N15936;Bep v orgasnisch+tot koolstof geh.in grond na drogeverassing
other:N5771;AES bepaling met ICP voor PAK's
other:V5627;Bep massieke tot beta + rest-beta-activiteit vast telmonster
other:W3002;Bepaling totaal alfa activiteit in sediment en zwevende stof
other:W3004;Bep van totaal beta activiteit in sediment en zwevende stof
other:X042;Bepaling van Dioxines mbv HRGC/HRMS (Analytico)
other:X151;Bepaling van Diox in WB en ZS (Al-West, SOP_AL_C_15267_01)
other:A401;PAK's volgens Borneff
other:A402;Bepaling van HCH
